id,pred_residual,context_key,publication,baseline,pred_abs
IsPETaseWT_pool_16774,2.966628,,,-1.4,1.5666280746459962
IsPETaseWT_pool_14676,2.9626255,,,-1.4,1.5626255035400392
IsPETaseWT_pool_19226,2.9546075,,,-1.4,1.5546074867248536
IsPETaseWT_pool_6953,2.9538462,,,-1.4,1.5538462162017823
IsPETaseWT_pool_14827,2.9518142,,,-1.4,1.5518141746520997
IsPETaseWT_pool_26127,2.9516168,,,-1.4,1.5516167640686036
IsPETaseWT_pool_9330,2.933764,,,-1.4,1.5337639808654786
IsPETaseWT_pool_16025,2.933163,,,-1.4,1.5331629276275636
IsPETaseWT_pool_21403,2.9223516,,,-1.4,1.522351598739624
IsPETaseWT_pool_8092,2.9197578,,,-1.4,1.5197578430175782
IsPETaseWT_pool_7659,2.9197578,,,-1.4,1.5197578430175782
IsPETaseWT_pool_16149,2.9175544,,,-1.4,1.5175543785095216
IsPETaseWT_pool_19389,2.9148188,,,-1.4,1.5148187637329102
IsPETaseWT_pool_5607,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_542,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_5486,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_26745,2.9123359,,,-1.4,1.5123358726501466
IsPETaseWT_pool_4923,2.9108565,,,-1.4,1.5108564853668214
IsPETaseWT_pool_7329,2.9064062,,,-1.4,1.5064061641693116
IsPETaseWT_pool_18806,2.9061127,,,-1.4,1.5061126708984376
