id,pred_residual,context_key,publication,baseline,pred_abs
IsPETaseWT_pool_16774,2.966628,,,-1.4,1.5666280746459962
IsPETaseWT_pool_14676,2.9626255,,,-1.4,1.5626255035400392
IsPETaseWT_pool_19226,2.9546075,,,-1.4,1.5546074867248536
IsPETaseWT_pool_6953,2.9538462,,,-1.4,1.5538462162017823
IsPETaseWT_pool_14827,2.9518142,,,-1.4,1.5518141746520997
IsPETaseWT_pool_26127,2.9516168,,,-1.4,1.5516167640686036
IsPETaseWT_pool_9330,2.933764,,,-1.4,1.5337639808654786
IsPETaseWT_pool_16025,2.933163,,,-1.4,1.5331629276275636
IsPETaseWT_pool_21403,2.9223516,,,-1.4,1.522351598739624
IsPETaseWT_pool_8092,2.9197578,,,-1.4,1.5197578430175782
IsPETaseWT_pool_7659,2.9197578,,,-1.4,1.5197578430175782
IsPETaseWT_pool_16149,2.9175544,,,-1.4,1.5175543785095216
IsPETaseWT_pool_19389,2.9148188,,,-1.4,1.5148187637329102
IsPETaseWT_pool_5607,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_542,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_5486,2.9125836,,,-1.4,1.512583589553833
IsPETaseWT_pool_26745,2.9123359,,,-1.4,1.5123358726501466
IsPETaseWT_pool_4923,2.9108565,,,-1.4,1.5108564853668214
IsPETaseWT_pool_7329,2.9064062,,,-1.4,1.5064061641693116
IsPETaseWT_pool_18806,2.9061127,,,-1.4,1.5061126708984376
IsPETaseWT_pool_10135,2.9035335,,,-1.4,1.5035334587097169
IsPETaseWT_pool_27485,2.9018064,,,-1.4,1.5018063545227052
IsPETaseWT_pool_20757,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_27688,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_14164,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_9623,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_24902,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_11920,2.9017076,,,-1.4,1.5017076492309571
IsPETaseWT_pool_24469,2.9004533,,,-1.4,1.5004533290863038
IsPETaseWT_pool_26749,2.8999465,,,-1.4,1.499946451187134
IsPETaseWT_pool_24970,2.8996706,,,-1.4,1.4996706008911134
IsPETaseWT_pool_19365,2.8983607,,,-1.4,1.4983607292175294
IsPETaseWT_pool_4442,2.8965008,,,-1.4,1.496500825881958
IsPETaseWT_pool_9426,2.8946424,,,-1.4,1.4946423530578614
IsPETaseWT_pool_2321,2.8934264,,,-1.4,1.4934264183044434
IsPETaseWT_pool_15590,2.8934264,,,-1.4,1.4934264183044434
IsPETaseWT_pool_21907,2.8919485,,,-1.4,1.4919484615325929
IsPETaseWT_pool_18833,2.8919485,,,-1.4,1.4919484615325929
IsPETaseWT_pool_23824,2.8919485,,,-1.4,1.4919484615325929
IsPETaseWT_pool_13154,2.8898437,,,-1.4,1.4898437023162845
IsPETaseWT_pool_17254,2.8891692,,,-1.4,1.489169216156006
IsPETaseWT_pool_18273,2.8868496,,,-1.4,1.4868496417999268
IsPETaseWT_pool_15556,2.8844197,,,-1.4,1.4844196796417235
IsPETaseWT_pool_26191,2.882969,,,-1.4,1.4829689025878907
IsPETaseWT_pool_26355,2.8828983,,,-1.4,1.4828983306884769
IsPETaseWT_pool_25239,2.8828983,,,-1.4,1.4828983306884769
IsPETaseWT_pool_9312,2.8828983,,,-1.4,1.4828983306884769
IsPETaseWT_pool_7682,2.8828983,,,-1.4,1.4828983306884769
IsPETaseWT_pool_20612,2.8828702,,,-1.4,1.482870197296143
IsPETaseWT_pool_27796,2.882851,,,-1.4,1.4828508853912354
IsPETaseWT_pool_23721,2.8823586,,,-1.4,1.4823585510253907
IsPETaseWT_pool_26318,2.8820825,,,-1.4,1.482082462310791
IsPETaseWT_pool_17288,2.881634,,,-1.4,1.481633996963501
IsPETaseWT_pool_14717,2.8801346,,,-1.4,1.4801345825195311
IsPETaseWT_pool_20593,2.8771803,,,-1.4,1.477180337905884
IsPETaseWT_pool_21088,2.8771803,,,-1.4,1.477180337905884
IsPETaseWT_pool_17016,2.8770816,,,-1.4,1.4770816326141358
IsPETaseWT_pool_8747,2.8767488,,,-1.4,1.47674880027771
IsPETaseWT_pool_12465,2.87603,,,-1.4,1.4760299682617188
IsPETaseWT_pool_17410,2.8749769,,,-1.4,1.4749768733978272
IsPETaseWT_pool_13385,2.874951,,,-1.4,1.4749508857727052
IsPETaseWT_pool_8413,2.873997,,,-1.4,1.4739969730377198
IsPETaseWT_pool_16552,2.8733225,,,-1.4,1.4733224868774415
IsPETaseWT_pool_18397,2.8723438,,,-1.4,1.4723437786102296
IsPETaseWT_pool_26942,2.8718305,,,-1.4,1.471830463409424
IsPETaseWT_pool_23627,2.8707156,,,-1.4,1.470715618133545
IsPETaseWT_pool_9420,2.8681302,,,-1.4,1.4681302070617677
IsPETaseWT_pool_8613,2.8681302,,,-1.4,1.4681302070617677
IsPETaseWT_pool_12914,2.8681302,,,-1.4,1.4681302070617677
IsPETaseWT_pool_14047,2.8680315,,,-1.4,1.4680315017700196
IsPETaseWT_pool_8152,2.8680315,,,-1.4,1.4680315017700196
IsPETaseWT_pool_15849,2.8680315,,,-1.4,1.4680315017700196
IsPETaseWT_pool_11662,2.8678896,,,-1.4,1.4678896427154542
IsPETaseWT_pool_4628,2.866669,,,-1.4,1.4666689395904542
IsPETaseWT_pool_21933,2.8651686,,,-1.4,1.465168571472168
IsPETaseWT_pool_7064,2.8644378,,,-1.4,1.4644378185272218
IsPETaseWT_pool_18002,2.8644378,,,-1.4,1.4644378185272218
IsPETaseWT_pool_20470,2.8644378,,,-1.4,1.4644378185272218
IsPETaseWT_pool_20882,2.8644378,,,-1.4,1.4644378185272218
