id,ddg,scorefile
IsPETaseWT_pool_15412,3.155999999999949,IsPETaseWT_pool_15412.ddg
IsPETaseWT_pool_22096,-101.12866666666685,IsPETaseWT_pool_22096.ddg
IsPETaseWT_pool_14083,-4.618666666666513,IsPETaseWT_pool_14083.ddg
IsPETaseWT_pool_24813,-25.48833333333323,IsPETaseWT_pool_24813.ddg
IsPETaseWT_pool_13330,-116.97699999999986,IsPETaseWT_pool_13330.ddg
IsPETaseWT_pool_24550,-147.346,IsPETaseWT_pool_24550.ddg
IsPETaseWT_pool_20213,3.9990000000001373,IsPETaseWT_pool_20213.ddg
IsPETaseWT_pool_17796,15.258000000000038,IsPETaseWT_pool_17796.ddg
IsPETaseWT_pool_16177,-105.39666666666653,IsPETaseWT_pool_16177.ddg
IsPETaseWT_pool_20148,-3.0599999999999454,IsPETaseWT_pool_20148.ddg
IsPETaseWT_pool_27368,13.587999999999965,IsPETaseWT_pool_27368.ddg
IsPETaseWT_pool_24403,5.1073333333332585,IsPETaseWT_pool_24403.ddg
IsPETaseWT_pool_19676,-19.279333333333398,IsPETaseWT_pool_19676.ddg
IsPETaseWT_pool_23099,454.6163333333333,IsPETaseWT_pool_23099.ddg
IsPETaseWT_pool_6872,13.359666666666726,IsPETaseWT_pool_6872.ddg
IsPETaseWT_pool_27106,2.1119999999998527,IsPETaseWT_pool_27106.ddg
IsPETaseWT_pool_26823,-4.045999999999935,IsPETaseWT_pool_26823.ddg
IsPETaseWT_pool_24844,-95.55633333333344,IsPETaseWT_pool_24844.ddg
IsPETaseWT_pool_7191,-107.65533333333349,IsPETaseWT_pool_7191.ddg
IsPETaseWT_pool_8267,477.304,IsPETaseWT_pool_8267.ddg
