id,pred_residual,pred_abs,ddg_reu,af2_ranked0_plddt_mean,af2_ranked0_plddt_key_mean,af2_triad_ser160_his237,af2_triad_asp206_his237,af2_disulfide_203_239_dist,af2_disulfide_273_289_dist
IsPETaseWT_pool_6953,2.9538462,1.5538462162017823,-0.7020000000001119,94.32955172413794,98.199,2.8177602807904005,2.485900440484293,1.852879650705896,2.2964572715380545
IsPETaseWT_pool_18806,2.9061127,1.5061126708984376,-117.03166666666677,94.2639655172414,98.149,2.808492300149673,2.495379930992473,1.849863238188164,2.196155276841782
IsPETaseWT_pool_24902,2.9017076,1.5017076492309571,-5.3173333333334085,94.28737931034485,98.128,2.800460854930845,2.493445006411812,1.8770905678735903,2.090877806090065
IsPETaseWT_pool_24970,2.8996706,1.4996706008911134,-97.62800000000004,94.22575862068966,98.346,2.8201952060096827,2.5155011429136733,1.856528480794195,1.995899045543137
IsPETaseWT_pool_13154,2.8898437,1.4898437023162845,-1.0026666666666415,94.2191379310345,98.184,2.823565122323195,2.515374524797451,1.8756956043025728,2.2370507370196155
IsPETaseWT_pool_17254,2.8891692,1.489169216156006,-115.49366666666664,94.24775862068968,98.31199999999998,2.8362450528824192,2.514798003816609,1.876377627238184,2.025050369743924
IsPETaseWT_pool_16552,2.8733225,1.4733224868774415,-95.116,94.11324137931037,98.244,2.805380188138499,2.502208024925186,1.8630837340280773,2.045584757471565
IsPETaseWT_pool_21933,2.8651686,1.465168571472168,-117.51699999999994,94.33,98.232,2.797183047281675,2.4821003202932785,1.8735904034767044,2.270803602251855
IsPETaseWT_pool_10273,2.8319328,1.4319327831268311,-1.9400000000000543,94.04131034482758,98.153,2.8132246621981687,2.540195464919974,1.849984864802952,2.312581458024776
IsPETaseWT_pool_10458,2.8125033,1.4125033378601075,-71.33966666666663,94.24237931034484,98.096,2.800071070526603,2.49900420167714,1.86636813088951,2.1937652563572065
IsPETaseWT_pool_23253,2.798311,1.3983109951019288,-8.234333333333325,94.17706896551724,98.161,2.822384452905025,2.497376823789313,1.858398773137779,2.2397207415211384
IsPETaseWT_pool_14221,2.7892609,1.3892608642578126,-4.156666666666524,94.16910344827586,98.183,2.8002573096056724,2.527593519535924,1.8476387633950528,2.262697947141863
IsPETaseWT_pool_25936,2.777162,1.3771620750427247,-2.4880000000000564,94.0705172413793,98.21200000000002,2.821075504129587,2.4772714829021063,1.862998121308768,2.0735947048543504
IsPETaseWT_pool_21956,2.7732685,1.373268461227417,-0.7046666666667534,94.16337931034482,98.185,2.8310125397108363,2.4915501199052765,1.861690898081633,2.2836814576468414
IsPETaseWT_pool_26112,2.6910546,1.2910545825958253,-5.908666666666477,94.1680344827586,98.209,2.8398911950988546,2.5215174002968928,1.8795355809348209,2.3014693132866224
IsPETaseWT_pool_531,2.6685026,1.2685025691986085,-8.164999999999964,94.35610344827585,98.101,2.8266676493708984,2.5150544725711206,1.8464511907981769,2.106206305184752
IsPETaseWT_pool_1915,2.6676762,1.2676762104034425,-2.2476666666665324,94.1234827586207,98.203,2.834398701664958,2.5237791107781207,1.8743438852035657,2.3016928552697906
IsPETaseWT_pool_20044,2.6671538,1.267153835296631,-4.138333333333321,94.13362068965516,98.247,2.8516724917142926,2.5389094115387416,1.8422991070941763,2.2956310679201044
IsPETaseWT_pool_5089,2.6657238,1.2657238006591798,-117.43899999999996,94.22362068965516,98.073,2.8241600521216927,2.5128477868744854,1.8567999353726825,2.107438729832969
IsPETaseWT_pool_9041,2.6595511,1.2595511436462403,-3.966999999999985,94.14524137931036,98.107,2.811608258630636,2.501080766388802,1.855824883980168,2.1295269427739107
