id,pred_residual,pred_abs,surrogate_dtm_wt_centered_cal,ddg_reu,af2_ranked0_plddt_mean,af2_ranked0_plddt_key_mean
IsPETaseWT_pool_6953,2.9538462,1.5538462162017823,13.110332489013672,-0.7020000000001119,94.32955172413794,98.199
IsPETaseWT_pool_18806,2.9061127,1.5061126708984376,12.495624542236328,-117.03166666666677,94.2639655172414,98.149
IsPETaseWT_pool_24902,2.9017076,1.5017076492309571,14.383073806762695,-5.3173333333334085,94.28737931034485,98.128
IsPETaseWT_pool_24970,2.8996706,1.4996706008911134,12.644939422607422,-97.62800000000004,94.22575862068966,98.346
IsPETaseWT_pool_13154,2.8898437,1.4898437023162845,13.596389770507812,-1.0026666666666415,94.2191379310345,98.184
IsPETaseWT_pool_17254,2.8891692,1.489169216156006,11.898405075073242,-115.49366666666664,94.24775862068968,98.31199999999998
IsPETaseWT_pool_16552,2.8733225,1.4733224868774415,13.226861953735352,-95.116,94.11324137931037,98.244
IsPETaseWT_pool_21933,2.8651686,1.465168571472168,11.090204238891602,-117.51699999999994,94.33,98.232
IsPETaseWT_pool_10273,2.8319328,1.4319327831268311,12.686586380004883,-1.9400000000000543,94.04131034482758,98.153
IsPETaseWT_pool_10458,2.8125033,1.4125033378601075,11.338628768920898,-71.33966666666663,94.24237931034484,98.096
IsPETaseWT_pool_23253,2.798311,1.3983109951019288,13.952362060546875,-8.234333333333325,94.17706896551724,98.161
IsPETaseWT_pool_14221,2.7892609,1.3892608642578126,16.211328506469727,-4.156666666666524,94.16910344827586,98.183
IsPETaseWT_pool_25936,2.777162,1.3771620750427247,10.40511703491211,-2.4880000000000564,94.0705172413793,98.21200000000002
IsPETaseWT_pool_21956,2.7732685,1.373268461227417,15.091650009155273,-0.7046666666667534,94.16337931034482,98.185
IsPETaseWT_pool_26112,2.6910546,1.2910545825958253,14.017839431762695,-5.908666666666477,94.1680344827586,98.209
IsPETaseWT_pool_531,2.6685026,1.2685025691986085,17.848072052001953,-8.164999999999964,94.35610344827585,98.101
IsPETaseWT_pool_1915,2.6676762,1.2676762104034425,11.574222564697266,-2.2476666666665324,94.1234827586207,98.203
IsPETaseWT_pool_20044,2.6671538,1.267153835296631,13.496332168579102,-4.138333333333321,94.13362068965516,98.247
IsPETaseWT_pool_5089,2.6657238,1.2657238006591798,9.364412307739258,-117.43899999999996,94.22362068965516,98.073
IsPETaseWT_pool_9041,2.6595511,1.2595511436462403,12.196670532226562,-3.966999999999985,94.14524137931036,98.107
