metric,mean,std,min,max
pred_residual,2.7117328447368423,0.11922505108413886,2.5668764,2.9538462
pred_abs,1.3117328455573638,0.11922504958066725,1.1668764114379884,1.5538462162017823
ddg_reu,-36.00290350877192,45.97578874775752,-124.2063333333333,-0.5793333333333521
af2_ranked0_plddt_mean,94.19707622504536,0.08896831712720506,94.04131034482758,94.35610344827585
af2_ranked0_plddt_key_mean,98.18271052631577,0.0690549753162779,98.073,98.346
af2_triad_ser160_his237,2.819215117140631,0.01467272230863896,2.79142221815332,2.8516724917142926
af2_triad_asp206_his237,2.502197292645889,0.01813606953462551,2.468969218115123,2.540195464919974
af2_triad_ser160_asp206,6.589356929321388,0.017858909624406328,6.560149007454021,6.6251802239637225
af2_disulfide_203_239_dist,1.862774166703557,0.011467164345809166,1.8314024680555616,1.880155844604377
af2_disulfide_273_289_dist,2.1836345120422735,0.10180347749066779,1.9941850465791784,2.320307091744539
af2_timing_features_s,680.7034834246887,290.8749173888197,529.1970274448395,1298.1784224510193
af2_timing_predict_total_s,983.7536781587099,4389.138465019887,254.2092125415802,27327.593521595
